city,lat,long
Denver,39.7392,-104.9903
El Paso,31.7619,-106.4850
Portland,45.5152,-122.6784
Atlanta,33.7488,-84.3877
Chicago,41.8781,-87.6298
Virginia Beach,36.8516,-75.9792
Louisville,38.2527,-85.7585
San Diego,32.7157,-117.1611
Sacramento,38.5816,-121.4944
Dallas,32.7767,-96.7970
Fort Worth,32.7555,-97.3308
Bakersfield,35.3733,-119.0187
"Omaha, NE",41.2565,-95.9345
"Lubbock, TX",33.5778,-101.8553
"Fremont, CA",37.5485,-121.9886
San Antonio,29.4252,-98.4946
"Irving, Texas",32.8140,-96.9489
"Madison, WI",43.0722,-89.4008
"Frisco, TX",33.1507,-96.8236
"Lincoln, NE",40.8137,-96.7026
"Wichita, KS",37.6872,-97.3301
"Plano, TX",33.0198,-96.6989
"Akron, OH",41.0814,-81.5190
"Buffalo, NY",42.8864,-78.8784
"Chula Vista, CA",32.6401,-117.0842
"Reno, NV",39.5299,-119.8143
"Oxnard, CA",34.1975,-119.1771
San Francisco,37.7749,-122.4194
"McKinney, TX",33.1983,-96.6389
"Arlington, TX",32.7357,-97.1081
"Garland, TX",32.9126,-96.6389
"Riverside County, CA",33.6826,-115.4734
"Stockton, CA",37.9577,-121.290
"Corpus Cristi, TX",27.8006,-97.3964
Cincinatti,39.1031,-84.5120
"Montgomery County, MD",39.1547,-77.2405
"Henderson, NV",36.0395,-114.9817
"San Bernardino, CA",34.1083,-117.2898
"Newport News, VA",37.0871,-76.4730
"Amarillo, TX",35.2220,-101.8313
"New Haven, CT",41.3083,-72.9279
"Washington, D.C.",38.9072,-77.0369
"Boise, ID",43.6150,-116.2023
"Austin, TX",30.2672,-97.7431
"Chandler, AZ",33.3062,-111.8413
"Modesto, CA",37.6393,-120.9970
"San Jose, CA",37.3387,-121.8853
"Aurora, IL",41.7606,-88.3201
"Vancouver, WA",49.2827,-123.1207
"Raleigh, NC",35.7796,-78.6382
"St. Petersburg, FL",27.7671,-82.6384
"Milwaukee, WI",43.0389,-87.9065
"Los Angeles, CA",34.0549,-118.2426
"Glendale, AZ",33.5387,-112.1860
"Orlando, FL",28.5384,-81.3789
"Eugene, OR",44.0521,-123.0868
"Rochester, NY",43.1566,-77.6088
"Durham, NC",35.9940,-78.8986
"Norfolk, VA",36.8508,-76.2859
"Pittsburgh, PA",40.4406,-79.9959
"Miami, FL",25.7617,-80.1918
"Spokane, WA",47.6580,-117.4235
"Salt Lake City, UT",40.7608,-111.8910
"Minneapolis, MN",44.9778,-93.2650
"Anaheim, CA",33.8366,-117.9143
"Providence, RI",41.8240,-71.4128
"Syracuse, NY",43.0481,-76.1474
"Peoria, AZ",33.5806,-112.2374
"Houston, TX",29.7604,-95.3698
"Prince George's County, MD",38.7849,-76.8721
