date,city,count_kia_hyundai,count_all,percent_kia_hyundai,month,year
2019-12-01,Denver,48,615,8,Dec,2019
2020-01-01,Denver,21,519,4,Jan,2020
2020-02-01,Denver,28,402,7,Feb,2020
2020-03-01,Denver,35,508,7,Mar,2020
2020-04-01,Denver,39,616,6,Apr,2020
2020-05-01,Denver,37,692,5,May,2020
2020-06-01,Denver,57,747,8,Jun,2020
2020-07-01,Denver,57,786,7,Jul,2020
2020-08-01,Denver,85,840,10,Aug,2020
2020-09-01,Denver,107,916,12,Sep,2020
2020-10-01,Denver,112,942,12,Oct,2020
2020-11-01,Denver,155,948,16,Nov,2020
2020-12-01,Denver,163,1014,16,Dec,2020
2021-01-01,Denver,209,1039,20,Jan,2021
2021-02-01,Denver,158,927,17,Feb,2021
2021-03-01,Denver,166,948,18,Mar,2021
2021-04-01,Denver,215,979,22,Apr,2021
2021-05-01,Denver,242,1068,23,May,2021
2021-06-01,Denver,202,1058,19,Jun,2021
2021-07-01,Denver,174,1063,16,Jul,2021
2021-08-01,Denver,214,1129,19,Aug,2021
2021-09-01,Denver,195,1045,19,Sep,2021
2021-10-01,Denver,159,961,17,Oct,2021
2021-11-01,Denver,231,1056,22,Nov,2021
2021-12-01,Denver,297,1129,26,Dec,2021
2022-01-01,Denver,327,1161,28,Jan,2022
2022-02-01,Denver,361,1221,30,Feb,2022
2022-03-01,Denver,427,1301,33,Mar,2022
2022-04-01,Denver,345,1118,31,Apr,2022
2022-05-01,Denver,356,1215,29,May,2022
2022-06-01,Denver,344,1110,31,Jun,2022
2022-07-01,Denver,464,1198,39,Jul,2022
2022-08-01,Denver,386,1176,33,Aug,2022
2022-09-01,Denver,427,1229,35,Sep,2022
2022-10-01,Denver,401,1243,32,Oct,2022
2022-11-01,Denver,339,1075,32,Nov,2022
2022-12-01,Denver,391,1070,37,Dec,2022
2023-01-01,Denver,424,1170,36,Jan,2023
2023-02-01,Denver,298,940,32,Feb,2023
2023-03-01,Denver,209,917,23,Mar,2023
2023-04-01,Denver,194,838,23,Apr,2023
2023-05-01,Denver,285,964,30,May,2023
2023-06-01,Denver,308,1116,28,Jun,2023
2023-07-01,Denver,233,1005,23,Jul,2023
2023-08-01,Denver,NA,NA,NA,Aug,2023
2019-12-01,El Paso,13,103,13,Dec,2019
2020-01-01,El Paso,9,95,9,Jan,2020
2020-02-01,El Paso,5,64,8,Feb,2020
2020-03-01,El Paso,6,75,8,Mar,2020
2020-04-01,El Paso,1,57,2,Apr,2020
2020-05-01,El Paso,1,62,2,May,2020
2020-06-01,El Paso,8,77,10,Jun,2020
2020-07-01,El Paso,5,62,8,Jul,2020
2020-08-01,El Paso,4,83,5,Aug,2020
2020-09-01,El Paso,2,73,3,Sep,2020
2020-10-01,El Paso,3,84,4,Oct,2020
2020-11-01,El Paso,2,72,3,Nov,2020
2020-12-01,El Paso,6,111,5,Dec,2020
2021-01-01,El Paso,5,111,5,Jan,2021
2021-02-01,El Paso,5,90,6,Feb,2021
2021-03-01,El Paso,9,81,11,Mar,2021
2021-04-01,El Paso,7,87,8,Apr,2021
2021-05-01,El Paso,5,66,8,May,2021
