date,city,count_kia_hyundai,count_all,percent_kia_hyundai,month,year,lat,long
2019-12-01,Denver,48.0,615.0,8.0,Dec,2019.0,39.7392,-104.9903
2020-01-01,Denver,21.0,519.0,4.0,Jan,2020.0,39.7392,-104.9903
2020-02-01,Denver,28.0,402.0,7.0,Feb,2020.0,39.7392,-104.9903
2020-03-01,Denver,35.0,508.0,7.0,Mar,2020.0,39.7392,-104.9903
2020-04-01,Denver,39.0,616.0,6.0,Apr,2020.0,39.7392,-104.9903
2020-05-01,Denver,37.0,692.0,5.0,May,2020.0,39.7392,-104.9903
2020-06-01,Denver,57.0,747.0,8.0,Jun,2020.0,39.7392,-104.9903
2020-07-01,Denver,57.0,786.0,7.0,Jul,2020.0,39.7392,-104.9903
2020-08-01,Denver,85.0,840.0,10.0,Aug,2020.0,39.7392,-104.9903
2020-09-01,Denver,107.0,916.0,12.0,Sep,2020.0,39.7392,-104.9903
2020-10-01,Denver,112.0,942.0,12.0,Oct,2020.0,39.7392,-104.9903
2020-11-01,Denver,155.0,948.0,16.0,Nov,2020.0,39.7392,-104.9903
2020-12-01,Denver,163.0,1014.0,16.0,Dec,2020.0,39.7392,-104.9903
2021-01-01,Denver,209.0,1039.0,20.0,Jan,2021.0,39.7392,-104.9903
2021-02-01,Denver,158.0,927.0,17.0,Feb,2021.0,39.7392,-104.9903
2021-03-01,Denver,166.0,948.0,18.0,Mar,2021.0,39.7392,-104.9903
2021-04-01,Denver,215.0,979.0,22.0,Apr,2021.0,39.7392,-104.9903
2021-05-01,Denver,242.0,1068.0,23.0,May,2021.0,39.7392,-104.9903
2021-06-01,Denver,202.0,1058.0,19.0,Jun,2021.0,39.7392,-104.9903
2021-07-01,Denver,174.0,1063.0,16.0,Jul,2021.0,39.7392,-104.9903
2021-08-01,Denver,214.0,1129.0,19.0,Aug,2021.0,39.7392,-104.9903
2021-09-01,Denver,195.0,1045.0,19.0,Sep,2021.0,39.7392,-104.9903
2021-10-01,Denver,159.0,961.0,17.0,Oct,2021.0,39.7392,-104.9903
2021-11-01,Denver,231.0,1056.0,22.0,Nov,2021.0,39.7392,-104.9903
2021-12-01,Denver,297.0,1129.0,26.0,Dec,2021.0,39.7392,-104.9903
2022-01-01,Denver,327.0,1161.0,28.0,Jan,2022.0,39.7392,-104.9903
2022-02-01,Denver,361.0,1221.0,30.0,Feb,2022.0,39.7392,-104.9903
2022-03-01,Denver,427.0,1301.0,33.0,Mar,2022.0,39.7392,-104.9903
2022-04-01,Denver,345.0,1118.0,31.0,Apr,2022.0,39.7392,-104.9903
2022-05-01,Denver,356.0,1215.0,29.0,May,2022.0,39.7392,-104.9903
2022-06-01,Denver,344.0,1110.0,31.0,Jun,2022.0,39.7392,-104.9903
2022-07-01,Denver,464.0,1198.0,39.0,Jul,2022.0,39.7392,-104.9903
2022-08-01,Denver,386.0,1176.0,33.0,Aug,2022.0,39.7392,-104.9903
2022-09-01,Denver,427.0,1229.0,35.0,Sep,2022.0,39.7392,-104.9903
2022-10-01,Denver,401.0,1243.0,32.0,Oct,2022.0,39.7392,-104.9903
2022-11-01,Denver,339.0,1075.0,32.0,Nov,2022.0,39.7392,-104.9903
2022-12-01,Denver,391.0,1070.0,37.0,Dec,2022.0,39.7392,-104.9903
2023-01-01,Denver,424.0,1170.0,36.0,Jan,2023.0,39.7392,-104.9903
2023-02-01,Denver,298.0,940.0,32.0,Feb,2023.0,39.7392,-104.9903
2023-03-01,Denver,209.0,917.0,23.0,Mar,2023.0,39.7392,-104.9903
2023-04-01,Denver,194.0,838.0,23.0,Apr,2023.0,39.7392,-104.9903
2023-05-01,Denver,285.0,964.0,30.0,May,2023.0,39.7392,-104.9903
2023-06-01,Denver,308.0,1116.0,28.0,Jun,2023.0,39.7392,-104.9903
2023-07-01,Denver,233.0,1005.0,23.0,Jul,2023.0,39.7392,-104.9903
2019-12-01,El Paso,13.0,103.0,13.0,Dec,2019.0,31.7619,-106.485
2020-01-01,El Paso,9.0,95.0,9.0,Jan,2020.0,31.7619,-106.485
2020-02-01,El Paso,5.0,64.0,8.0,Feb,2020.0,31.7619,-106.485
2020-03-01,El Paso,6.0,75.0,8.0,Mar,2020.0,31.7619,-106.485
2020-04-01,El Paso,1.0,57.0,2.0,Apr,2020.0,31.7619,-106.485
2020-05-01,El Paso,1.0,62.0,2.0,May,2020.0,31.7619,-106.485
2020-06-01,El Paso,8.0,77.0,10.0,Jun,2020.0,31.7619,-106.485
2020-07-01,El Paso,5.0,62.0,8.0,Jul,2020.0,31.7619,-106.485
2020-08-01,El Paso,4.0,83.0,5.0,Aug,2020.0,31.7619,-106.485
2020-09-01,El Paso,2.0,73.0,3.0,Sep,2020.0,31.7619,-106.485
2020-10-01,El Paso,3.0,84.0,4.0,Oct,2020.0,31.7619,-106.485
2020-11-01,El Paso,2.0,72.0,3.0,Nov,2020.0,31.7619,-106.485
2020-12-01,El Paso,6.0,111.0,5.0,Dec,2020.0,31.7619,-106.485
2021-01-01,El Paso,5.0,111.0,5.0,Jan,2021.0,31.7619,-106.485
2021-02-01,El Paso,5.0,90.0,6.0,Feb,2021.0,31.7619,-106.485
2021-03-01,El Paso,9.0,81.0,11.0,Mar,2021.0,31.7619,-106.485
2021-04-01,El Paso,7.0,87.0,8.0,Apr,2021.0,31.7619,-106.485
2021-05-01,El Paso,5.0,66.0,8.0,May,2021.0,31.7619,-106.485
2021-06-01,El Paso,3.0,65.0,5.0,Jun,2021.0,31.7619,-106.485
2021-07-01,El Paso,5.0,102.0,5.0,Jul,2021.0,31.7619,-106.485
2021-08-01,El Paso,8.0,87.0,9.0,Aug,2021.0,31.7619,-106.485
2021-09-01,El Paso,8.0,89.0,9.0,Sep,2021.0,31.7619,-106.485
2021-10-01,El Paso,4.0,82.0,5.0,Oct,2021.0,31.7619,-106.485
2021-11-01,El Paso,5.0,86.0,6.0,Nov,2021.0,31.7619,-106.485
2021-12-01,El Paso,5.0,93.0,5.0,Dec,2021.0,31.7619,-106.485
2022-01-01,El Paso,8.0,94.0,9.0,Jan,2022.0,31.7619,-106.485
2022-02-01,El Paso,6.0,104.0,6.0,Feb,2022.0,31.7619,-106.485
2022-03-01,El Paso,5.0,133.0,4.0,Mar,2022.0,31.7619,-106.485
2022-04-01,El Paso,4.0,137.0,3.0,Apr,2022.0,31.7619,-106.485
2022-05-01,El Paso,9.0,142.0,6.0,May,2022.0,31.7619,-106.485
2022-06-01,El Paso,10.0,128.0,8.0,Jun,2022.0,31.7619,-106.485
2022-07-01,El Paso,17.0,125.0,14.0,Jul,2022.0,31.7619,-106.485
2022-08-01,El Paso,25.0,119.0,21.0,Aug,2022.0,31.7619,-106.485
2022-09-01,El Paso,8.0,137.0,6.0,Sep,2022.0,31.7619,-106.485
2022-10-01,El Paso,10.0,120.0,8.0,Oct,2022.0,31.7619,-106.485
2022-11-01,El Paso,13.0,128.0,10.0,Nov,2022.0,31.7619,-106.485
2022-12-01,El Paso,11.0,129.0,9.0,Dec,2022.0,31.7619,-106.485
2023-01-01,El Paso,6.0,150.0,4.0,Jan,2023.0,31.7619,-106.485
2023-02-01,El Paso,17.0,121.0,14.0,Feb,2023.0,31.7619,-106.485
2023-03-01,El Paso,15.0,168.0,9.0,Mar,2023.0,31.7619,-106.485
2023-04-01,El Paso,14.0,157.0,9.0,Apr,2023.0,31.7619,-106.485
2023-05-01,El Paso,17.0,183.0,9.0,May,2023.0,31.7619,-106.485
2023-06-01,El Paso,44.0,192.0,23.0,Jun,2023.0,31.7619,-106.485
2023-07-01,El Paso,33.0,144.0,23.0,Jul,2023.0,31.7619,-106.485
2023-08-01,El Paso,24.0,187.0,13.0,Aug,2023.0,31.7619,-106.485
2019-12-01,Portland,13.0,592.0,2.0,Dec,2019.0,45.5152,-122.6784
2020-01-01,Portland,12.0,559.0,2.0,Jan,2020.0,45.5152,-122.6784
2020-02-01,Portland,10.0,498.0,2.0,Feb,2020.0,45.5152,-122.6784
2020-03-01,Portland,4.0,465.0,1.0,Mar,2020.0,45.5152,-122.6784
2020-04-01,Portland,7.0,488.0,1.0,Apr,2020.0,45.5152,-122.6784
2020-05-01,Portland,7.0,387.0,2.0,May,2020.0,45.5152,-122.6784
2020-06-01,Portland,11.0,423.0,3.0,Jun,2020.0,45.5152,-122.6784
2020-07-01,Portland,11.0,528.0,2.0,Jul,2020.0,45.5152,-122.6784
2020-08-01,Portland,8.0,629.0,1.0,Aug,2020.0,45.5152,-122.6784
2020-09-01,Portland,11.0,657.0,2.0,Sep,2020.0,45.5152,-122.6784
2020-10-01,Portland,13.0,616.0,2.0,Oct,2020.0,45.5152,-122.6784
2020-11-01,Portland,17.0,633.0,3.0,Nov,2020.0,45.5152,-122.6784
2020-12-01,Portland,14.0,570.0,2.0,Dec,2020.0,45.5152,-122.6784
2021-01-01,Portland,27.0,555.0,5.0,Jan,2021.0,45.5152,-122.6784
2021-02-01,Portland,8.0,486.0,2.0,Feb,2021.0,45.5152,-122.6784
2021-03-01,Portland,21.0,616.0,3.0,Mar,2021.0,45.5152,-122.6784
2021-04-01,Portland,11.0,508.0,2.0,Apr,2021.0,45.5152,-122.6784
2021-05-01,Portland,5.0,590.0,1.0,May,2021.0,45.5152,-122.6784
2021-06-01,Portland,17.0,651.0,3.0,Jun,2021.0,45.5152,-122.6784
2021-07-01,Portland,18.0,741.0,2.0,Jul,2021.0,45.5152,-122.6784
2021-08-01,Portland,20.0,804.0,2.0,Aug,2021.0,45.5152,-122.6784
2021-09-01,Portland,14.0,897.0,2.0,Sep,2021.0,45.5152,-122.6784
2021-10-01,Portland,27.0,1037.0,3.0,Oct,2021.0,45.5152,-122.6784
2021-11-01,Portland,27.0,1140.0,2.0,Nov,2021.0,45.5152,-122.6784
