,Denver,,,El Paso,,,Portland,,,Atlanta,,,Chicago,,,Virginia Beach,,,Louisville,,,San Diego,,,Sacramento,,,Dallas,,,Fort Worth,,,Bakersfield,,,"Omaha, NE",,,"Lubbock, TX",,,"Fremont, CA",,,San Antonio,,,"Irving, Texas",,,"Madison, WI",,,"Frisco, TX",,,"Lincoln, NE",,,"Wichita, KS",,,"Plano, TX",,,"Akron, OH",,,"Buffalo, NY",,,"Chula Vista, CA",,,"Reno, NV",,,"Oxnard, CA",,,San Francisco,,,"McKinney, TX",,,"Arlington, TX",,,"Garland, TX",,,"Riverside County, CA",,,"Stockton, CA",,,"Corpus Cristi, TX",,,Cincinatti,,,"Montgomery County, MD",,,"Henderson, NV",,,"San Bernardino, CA",,,"Newport News, VA",,,"Amarillo, TX",,,"New Haven, CT",,,"Washington, D.C.",,,"Boise, ID",,,"Austin, TX",,,"Chandler, AZ",,,"Modesto, CA",,,"San Jose, CA",,,"Aurora, IL",,,"Vancouver, WA",,,"Raleigh, NC",,,"St. Petersburg, FL",,,"Milwaukee, WI",,,"Los Angeles, CA",,,"Glendale, AZ",,,"Orlando, FL",,,"Eugene, OR",,,"Rochester, NY",,,"Durham, NC",,,"Norfolk, VA",,,"Pittsburgh, PA",,,"Miami, FL",,,"Spokane, WA",,,"Salt Lake City, UT",,,"Minneapolis, MN",,,"Anaheim, CA",,,"Providence, RI",,,"Syracuse, NY",,,"Peoria, AZ",,,"Houston, TX",,,"Prince George's County, MD",,
,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent,Kia/Hyundais,All ,Percent
Dec/19,48,615,8%,13,103,13%,13,592,2%,,,,46,767,6%,,,,14,,,25,430,6%,2,,,21,,,12,352,3%,9,360,3%,11,277,4%,6,130,5%,,39,,,,,2,58,3%,4,83,5%,,12,,,28,,3,182,2%,3,64,5%,9,67,13%,7,107,7%,6,77,8%,,82,,1,48,2%,11,312,4%,0,17,0%,8,101,8%,3,112,3%,11,594,2%,3,119,3%,1,48,2%,,,,2,52,4%,,,,5,217,2%,2,21,10%,1,92,1%,6,106,6%,4,,,3,20,15%,10,289,3%,2,25,8%,5,118,4%,6,525,1%,1,12,8%,,,,5,89,6%,,66,,22,339,6%,53,1409,4%,9,134,7%,14,109,13%,1,94,1%,3,64,5%,5,79,6%,11,,,9,34,26%,0,,,1,126,1%,6,117,5%,22,326,7%,0,18,0%,1,14,7%,2,36,6%,2,27,7%,24,603,,11,210,5%
Jan/20,21,519,4%,9,95,9%,12,559,2%,,,,36,669,5%,,,,18,301,6%,14,423,3%,9,192,5%,26,1060,2%,13,340,4%,13,393,3%,19,291,7%,2,101,2%,,63,,,,,3,78,4%,4,75,5%,,15,,,62,,4,167,2%,1,42,2%,1,62,2%,7,136,5%,3,82,4%,,99,,2,45,4%,10,270,4%,0,16,0%,3,87,3%,0,111,0%,10,583,2%,5,167,3%,2,45,4%,21,131,16%,1,49,2%,,,,14,166,8%,3,31,10%,5,90,6%,5,96,5%,5,177,3%,0,16,0%,11,280,4%,3,38,8%,1,106,1%,6,420,1%,0,22,0%,,,,5,90,6%,,53,,23,312,7%,42,1409,3%,10,120,8%,8,104,8%,2,63,3%,8,81,10%,9,87,10%,3,,,4,37,11%,6,,,4,136,3%,4,121,3%,30,490,6%,0,18,0%,3,15,20%,5,51,10%,1,17,6%,18,586,,10,215,5%
Feb/20,28,402,7%,5,64,8%,10,498,2%,,,,40,653,6%,,,,10,277,4%,16,411,4%,4,157,3%,23,874,3%,4,310,1%,12,323,4%,13,266,5%,3,100,3%,,43,,,,,7,71,10%,1,45,2%,,8,,,51,,5,179,3%,1,25,4%,2,42,5%,9,100,9%,2,50,4%,,68,,0,28,0%,9,285,3%,0,15,0%,6,75,8%,0,78,0%,10,610,2%,3,143,2%,0,28,0%,10,114,9%,1,26,4%,,,,8,165,5%,3,30,10%,1,75,1%,5,86,6%,10,184,5%,0,20,0%,12,273,4%,4,37,11%,2,84,2%,9,477,2%,1,9,11%,,,,2,82,2%,,44,,24,290,8%,39,1280,3%,3,128,2%,5,91,5%,2,62,3%,4,53,8%,3,57,5%,1,,,3,32,9%,5,,,0,121,0%,1,116,1%,18,423,4%,0,14,0%,2,18,11%,6,40,15%,2,19,11%,15,556,,6,169,4%
Mar/20,35,508,7%,6,75,8%,4,465,1%,,,,38,628,6%,,,,14,296,5%,29,412,7%,4,197,2%,22,842,3%,15,292,5%,9,302,3%,17,261,7%,7,109,6%,,59,,,,,4,75,5%,2,53,4%,,11,,,46,,11,187,6%,1,34,3%,2,52,4%,2,80,3%,2,83,2%,1,67,1%,2,54,4%,14,279,5%,3,18,17%,1,73,1%,1,78,1%,9,559,2%,6,127,5%,2,54,4%,16,139,12%,5,71,7%,,,,11,176,6%,5,23,22%,1,90,1%,5,89,6%,8,182,4%,1,20,5%,8,346,2%,3,33,9%,3,146,2%,6,457,1%,0,18,0%,,,,3,86,3%,,46,,27,267,10%,50,1477,3%,13,115,11%,14,126,11%,2,63,3%,4,64,6%,9,69,13%,5,,,2,28,7%,4,,,0,92,0%,3,125,2%,19,369,5%,0,15,0%,2,16,13%,1,28,4%,2,17,12%,26,524,,7,167,4%
Apr/20,39,616,6%,1,57,2%,7,488,1%,,,,40,659,6%,,,,20,352,6%,14,388,4%,3,200,2%,19,772,2%,18,351,5%,6,323,2%,11,249,4%,3,119,3%,,79,,,,,7,70,10%,0,38,0%,,6,,,55,,0,149,0%,0,34,0%,7,82,9%,3,78,4%,2,58,3%,1,48,2%,1,100,1%,6,303,2%,4,17,24%,3,76,4%,1,87,1%,7,609,1%,6,134,4%,1,100,1%,12,104,12%,1,54,2%,,,,6,200,3%,3,26,12%,2,67,3%,4,56,7%,9,190,5%,0,18,0%,13,340,4%,1,33,3%,3,109,3%,11,548,2%,0,6,0%,,,,2,66,3%,,50,,17,237,7%,51,1837,3%,6,104,6%,7,113,6%,0,69,0%,7,58,12%,4,69,6%,3,,,5,27,19%,5,,,1,102,1%,6,122,5%,19,314,6%,0,10,0%,3,12,25%,1,28,4%,3,13,23%,21,541,,7,163,4%
May/20,37,692,5%,1,62,2%,7,387,2%,,,,70,829,8%,,,,11,324,3%,13,413,3%,5,233,2%,24,760,3%,12,350,3%,9,377,2%,14,219,6%,3,123,2%,,95,,,,,1,56,2%,1,42,2%,,5,,,33,,4,154,3%,0,29,0%,3,83,4%,3,95,3%,2,76,3%,2,77,3%,1,103,1%,14,329,4%,1,14,7%,4,91,4%,2,78,3%,13,619,2%,3,131,2%,1,103,1%,9,120,8%,1,44,2%,,,,7,181,4%,1,25,4%,4,89,4%,3,65,5%,7,238,3%,2,24,8%,6,322,2%,2,38,5%,1,99,1%,4,619,1%,1,14,7%,,,,1,73,1%,,48,,12,230,5%,61,1848,3%,4,103,4%,6,103,6%,0,54,0%,8,57,14%,10,66,15%,3,,,2,22,9%,3,,,1,81,1%,3,129,2%,23,300,8%,0,17,0%,2,6,33%,2,33,6%,0,9,0%,27,633,,6,173,3%
Jun/20,57,747,8%,8,77,10%,11,423,3%,,,,57,794,7%,,,,23,423,5%,35,456,8%,4,241,2%,25,928,3%,15,351,4%,7,356,2%,13,294,4%,3,111,3%,,96,,,,,3,53,6%,0,57,0%,,15,,,58,,2,204,1%,1,34,3%,4,98,4%,14,120,12%,3,90,3%,2,82,2%,1,112,1%,6,362,2%,1,8,13%,3,87,3%,0,94,0%,8,621,1%,6,142,4%,1,112,1%,17,145,12%,1,64,2%,,,,3,202,1%,1,40,3%,2,98,2%,3,66,5%,12,280,4%,0,23,0%,13,332,4%,2,31,6%,1,89,1%,14,789,2%,1,18,6%,,,,4,87,5%,,59,,16,281,6%,54,2090,3%,11,101,11%,2,110,2%,1,78,1%,11,84,13%,9,76,12%,1,,,9,47,19%,3,,,1,95,1%,2,152,1%,26,403,6%,0,14,0%,2,17,12%,7,54,13%,0,13,0%,27,700,,12,215,6%
Jul/20,57,786,7%,5,62,8%,11,528,2%,,,,60,959,6%,,,,20,515,4%,23,399,6%,3,232,1%,19,923,2%,17,374,5%,14,276,5%,23,300,8%,4,109,4%,,93,,,,,3,81,4%,5,93,5%,,9,,,50,,5,198,3%,0,35,0%,5,96,5%,9,155,6%,4,72,6%,1,77,1%,0,89,0%,6,403,1%,6,20,30%,2,84,2%,1,114,1%,12,546,2%,3,111,3%,0,89,0%,17,157,11%,2,77,3%,,,,9,170,5%,1,20,5%,5,108,5%,5,68,7%,19,326,6%,0,27,0%,15,368,4%,1,25,4%,3,88,3%,14,901,2%,2,17,12%,,,,2,97,2%,,74,,24,427,6%,83,1989,5%,6,65,9%,12,114,11%,1,60,2%,11,104,11%,6,100,6%,3,,,3,40,8%,8,,,2,105,2%,5,162,3%,26,448,6%,1,13,8%,0,12,0%,5,72,7%,2,16,13%,35,692,,17,210,8%
Aug/20,85,840,10%,4,83,5%,8,629,1%,,,,55,996,6%,,,,18,437,4%,16,376,4%,5,193,3%,28,934,3%,18,425,4%,5,320,2%,16,363,4%,7,114,6%,,94,,,,,2,90,2%,7,67,10%,,7,,,42,,15,189,8%,2,41,5%,9,118,8%,14,157,9%,4,83,5%,4,92,4%,0,44,0%,15,358,4%,0,11,0%,3,84,4%,3,94,3%,17,485,4%,1,78,1%,0,44,0%,12,149,8%,6,74,8%,,,,4,134,3%,2,32,6%,4,117,3%,7,78,9%,10,350,3%,2,25,8%,15,375,4%,5,33,15%,2,71,3%,10,636,2%,0,20,0%,,,,4,82,5%,,74,,20,419,5%,130,1838,8%,6,86,7%,2,101,2%,2,63,3%,8,93,9%,7,76,9%,4,,,5,35,14%,0,,,2,89,2%,7,207,3%,21,470,4%,0,6,0%,3,15,20%,9,74,12%,0,16,0%,40,687,,10,213,5%
